Source,Target,weight,label
-3268067683072787167,-1521781524640025379,1269,1269
-3268067683072787167,-273033171021384035,1873,1873
-3268067683072787167,2695305337569098618,4180,4180
-3268067683072787167,3645692567939266464,1759,1759
-3268067683072787167,8584721346566371541,1769,1769
-2479076574622892161,-2406154927270380003,1540,1540
-2479076574622892161,2695305337569098618,1211,1211
-2406154927270380003,-2179786877876424548,4167,4167
-2406154927270380003,-2159857214311285554,3264,3264
-2406154927270380003,-1423000256242238038,1084,1084
-2406154927270380003,871557107850427658,1904,1904
-2406154927270380003,3039183585666478258,2791,2791
-2406154927270380003,4064891571011074380,1952,1952
-2406154927270380003,5074974895441262076,2680,2680
-2406154927270380003,7341486337184709423,8028,8028
-2179786877876424548,2707166451744194534,1564,1564
-2179786877876424548,2811838510934669772,1970,1970
-2179786877876424548,7519427517373691798,1093,1093
-2159857214311285554,-1092374183810287215,1970,1970
-2159857214311285554,2589265509983531627,6259,6259
-2159857214311285554,2695305337569098618,4763,4763
-2159857214311285554,2811838510934669772,1390,1390
-2159857214311285554,3039183585666478258,3069,3069
-2159857214311285554,7519427517373691798,2416,2416
-2158435871750802565,2589265509983531627,1508,1508
-2158435871750802565,2695305337569098618,1047,1047
-2158435871750802565,2707166451744194534,1139,1139
-2158435871750802565,7057794358978688335,1619,1619
-1423000256242238038,3039183585666478258,1287,1287
-1092374183810287215,-273033171021384035,1221,1221
-1092374183810287215,3039183585666478258,5701,5701
-1092374183810287215,7519427517373691798,1158,1158
-464204487869910793,3039183585666478258,1013,1013
-273033171021384035,2695305337569098618,8306,8306
-273033171021384035,2768059539183056150,2620,2620
-273033171021384035,2811838510934669772,4556,4556
-273033171021384035,3039183585666478258,1861,1861
-273033171021384035,4064891571011074380,1684,1684
-273033171021384035,8584721346566371541,1303,1303
160009025870183982,2707166451744194534,1096,1096
411522172308304650,2589265509983531627,1207,1207
603774118492778883,1960646417337105237,1118,1118
603774118492778883,2695305337569098618,1208,1208
871557107850427658,7341486337184709423,1393,1393
1108832248229541119,2695305337569098618,2335,2335
1108832248229541119,2811838510934669772,1980,1980
1108832248229541119,7341486337184709423,1295,1295
2087922859966410869,2695305337569098618,1705,1705
2589265509983531627,2707166451744194534,4595,4595
2589265509983531627,7519427517373691798,1650,1650
2695305337569098618,2768059539183056150,3536,3536
2695305337569098618,3039183585666478258,3449,3449
2695305337569098618,4064891571011074380,1601,1601
2695305337569098618,7519427517373691798,1695,1695
2768059539183056150,3645692567939266464,3201,3201
2811838510934669772,4064891571011074380,1280,1280
2811838510934669772,5074974895441262076,1940,1940
2811838510934669772,7341486337184709423,2814,2814
3039183585666478258,7519427517373691798,1659,1659
3039183585666478258,7847537258258185880,1326,1326
3645692567939266464,3946370886449903125,1535,1535
3645692567939266464,7341486337184709423,5233,5233
3645692567939266464,7484248958687458596,3965,3965
4064891571011074380,7341486337184709423,1192,1192
4462447588911890185,7484248958687458596,1196,1196
4775248038139805003,7341486337184709423,1960,1960
5074974895441262076,7484248958687458596,1253,1253
-9189283624875180872,-8745505558082406655,1572,1572
-9189283624875180872,-7702246673281502833,1037,1037
-9189283624875180872,-2159857214311285554,2200,2200
-9189283624875180872,-2158435871750802565,4119,4119
-9189283624875180872,-1521781524640025379,1020,1020
-9189283624875180872,5558406874053753951,1130,1130
-9096232754884560930,-8638814388602130013,1005,1005
-9096232754884560930,-7784712059813151204,11346,11346
-9096232754884560930,-7675450448203336984,1649,1649
-9096232754884560930,-7426124097735608676,1097,1097
-9096232754884560930,-6806691435797463535,6584,6584
-9096232754884560930,-5904698658142210447,1400,1400
-9096232754884560930,-4999257352771650151,1948,1948
-9096232754884560930,-4666453782075787270,3416,3416
-9096232754884560930,-4129215337742647371,1675,1675
-9096232754884560930,-3268067683072787167,1754,1754
-9096232754884560930,-2158435871750802565,2247,2247
-9096232754884560930,-1423000256242238038,1057,1057
-9096232754884560930,603774118492778883,2540,2540
-9096232754884560930,1960646417337105237,3388,3388
-9096232754884560930,2589265509983531627,5052,5052
-9096232754884560930,5647053732965528546,1560,1560
-9096232754884560930,7341486337184709423,1343,1343
-9096232754884560930,7519427517373691798,4249,4249
-9096232754884560930,7847537258258185880,1294,1294
-9054730520840161619,-6806691435797463535,1915,1915
-9054730520840161619,-3810326145888079572,1374,1374
-9054730520840161619,-1092374183810287215,1603,1603
-9045514412949687915,-4050477985649184306,1017,1017
-8745505558082406655,-4999257352771650151,1467,1467
-8745505558082406655,-4129215337742647371,1855,1855
-8745505558082406655,-3810326145888079572,1070,1070
-8745505558082406655,-3304550021239131016,1793,1793
-8745505558082406655,-2158435871750802565,1443,1443
-8745505558082406655,-273033171021384035,1851,1851
-8745505558082406655,160009025870183982,1047,1047
-8745505558082406655,603774118492778883,1672,1672
-8745505558082406655,1960646417337105237,1931,1931
-8745505558082406655,2695305337569098618,3560,3560
-8745505558082406655,3645692567939266464,1387,1387
-8745505558082406655,7519427517373691798,4275,4275
-8638814388602130013,-7784712059813151204,1406,1406
-8481753544240448093,160009025870183982,1045,1045
-8476437303145384835,-7784712059813151204,1379,1379
-8476437303145384835,-2159857214311285554,1056,1056
-8476437303145384835,2695305337569098618,1284,1284
-7784712059813151204,-7702246673281502833,1330,1330
-7784712059813151204,-7426124097735608676,2233,2233
-7784712059813151204,-6835537133953598467,1154,1154
-7784712059813151204,-6806691435797463535,5934,5934
-7784712059813151204,-6174967750217613587,1910,1910
-7784712059813151204,-5835361465413913482,1284,1284
-7784712059813151204,-4999257352771650151,1910,1910
-7784712059813151204,-4666453782075787270,2943,2943
-7784712059813151204,-4060513158963513109,3904,3904
-7784712059813151204,-2179786877876424548,2702,2702
-7784712059813151204,-2159857214311285554,7939,7939
-7784712059813151204,-2158435871750802565,2367,2367
-7784712059813151204,-1521781524640025379,1375,1375
-7784712059813151204,-464204487869910793,1477,1477
-7784712059813151204,-273033171021384035,3757,3757
-7784712059813151204,2707166451744194534,2811,2811
-7784712059813151204,2768059539183056150,1241,1241
-7784712059813151204,3645692567939266464,3112,3112
-7784712059813151204,7057794358978688335,1558,1558
-7784712059813151204,7484248958687458596,1214,1214
-7784712059813151204,7744895437826374207,1372,1372
-7784712059813151204,7847537258258185880,1891,1891
-7702246673281502833,-4876003296321717233,1246,1246
-7702246673281502833,-4060513158963513109,3879,3879
-7702246673281502833,-3869629224220610070,1556,1556
-7702246673281502833,-2406154927270380003,5123,5123
-7702246673281502833,-2179786877876424548,1032,1032
-7702246673281502833,871557107850427658,1435,1435
-7702246673281502833,2087922859966410869,1153,1153
-7702246673281502833,3645692567939266464,4182,4182
-7702246673281502833,4462447588911890185,1440,1440
-7702246673281502833,4775248038139805003,2227,2227
-7702246673281502833,7341486337184709423,3797,3797
-7675450448203336984,-2159857214311285554,1953,1953
-7426124097735608676,-2159857214311285554,1293,1293
-7426124097735608676,160009025870183982,2966,2966
-7426124097735608676,1033778921950427255,1638,1638
-7426124097735608676,2589265509983531627,1997,1997
-6806691435797463535,-4060513158963513109,1753,1753
-6806691435797463535,-3810326145888079572,1898,1898
-6806691435797463535,-3304550021239131016,2180,2180
-6806691435797463535,-1092374183810287215,2454,2454
-6806691435797463535,603774118492778883,1418,1418
-6806691435797463535,865030606091400331,1093,1093
-6806691435797463535,3039183585666478258,3898,3898
-6174967750217613587,3039183585666478258,1726,1726
-6026813875032476846,-3810326145888079572,1546,1546
-6026813875032476846,-2159857214311285554,4200,4200
-6026813875032476846,-273033171021384035,2645,2645
-6026813875032476846,1108832248229541119,1037,1037
-6026813875032476846,2589265509983531627,3109,3109
-6026813875032476846,2695305337569098618,3509,3509
-6026813875032476846,2707166451744194534,1558,1558
-6026813875032476846,3039183585666478258,3858,3858
-6026813875032476846,7519427517373691798,1361,1361
-5904698658142210447,2695305337569098618,1363,1363
-5414993972319602247,-2406154927270380003,2193,2193
-5414993972319602247,-273033171021384035,1558,1558
-5414993972319602247,3645692567939266464,1485,1485
-5414993972319602247,7484248958687458596,1415,1415
-4999257352771650151,-4060513158963513109,1393,1393
-4999257352771650151,-2159857214311285554,1641,1641
-4876003296321717233,-3304550021239131016,1212,1212
-4876003296321717233,-3268067683072787167,1549,1549
-4876003296321717233,3645692567939266464,1313,1313
-4666453782075787270,-4060513158963513109,2393,2393
-4666453782075787270,2811838510934669772,1509,1509
-4666453782075787270,3039183585666478258,2513,2513
-4659034257681990730,-1788134360438261396,1530,1530
-4387858203142964056,-3268067683072787167,1580,1580
-4060513158963513109,-3268067683072787167,1974,1974
-4060513158963513109,-2406154927270380003,11909,11909
-4060513158963513109,-2179786877876424548,3870,3870
-4060513158963513109,-2159857214311285554,2648,2648
-4060513158963513109,-1092374183810287215,1301,1301
-4060513158963513109,2695305337569098618,8959,8959
-4060513158963513109,2811838510934669772,5098,5098
-4060513158963513109,3039183585666478258,1922,1922
-3869629224220610070,2768059539183056150,1091,1091
-3869629224220610070,3645692567939266464,2064,2064
-3869629224220610070,7484248958687458596,1823,1823
-3810326145888079572,-2406154927270380003,1423,1423
-3304550021239131016,-2479076574622892161,1043,1043
-3304550021239131016,-2406154927270380003,9164,9164
-3304550021239131016,-273033171021384035,6497,6497
-3304550021239131016,2695305337569098618,7253,7253
-3304550021239131016,2768059539183056150,2169,2169
-3304550021239131016,3039183585666478258,2610,2610
-3304550021239131016,3645692567939266464,4966,4966
-3304550021239131016,4064891571011074380,1577,1577
-3304550021239131016,8584721346566371541,1310,1310
-3268067683072787167,-2406154927270380003,2141,2141
-3268067683072787167,7341486337184709423,1740,1740
-3268067683072787167,7484248958687458596,1126,1126
-2406154927270380003,-273033171021384035,11040,11040
-2406154927270380003,1960646417337105237,1383,1383
-2406154927270380003,2087922859966410869,1943,1943
-2406154927270380003,2589265509983531627,1901,1901
-2406154927270380003,2811838510934669772,6278,6278
-2406154927270380003,3645692567939266464,6229,6229
-2406154927270380003,3946370886449903125,1123,1123
-2406154927270380003,7484248958687458596,5811,5811
-2406154927270380003,7519427517373691798,1136,1136
-2179786877876424548,-2159857214311285554,4111,4111
-2179786877876424548,-273033171021384035,3576,3576
